
                            < M A T L A B (R) >
                  Copyright 1984-2018 The MathWorks, Inc.
                   R2018b (9.5.0.944444) 64-bit (glnxa64)
                              August 28, 2018

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> GFDL-CM4C192-SST, year: 2016, month: 1
GFDL-CM4C192-SST, year: 2040, month: 4
GFDL-CM4C192-SST, year: 2040, month: 5
GFDL-CM4C192-SST, year: 2040, month: 6
GFDL-CM4C192-SST, year: 2040, month: 7
GFDL-CM4C192-SST, year: 2040, month: 8
GFDL-CM4C192-SST, year: 2040, month: 9
GFDL-CM4C192-SST, year: 2040, month: 10
GFDL-CM4C192-SST, year: 2040, month: 11
GFDL-CM4C192-SST, year: 2040, month: 12
GFDL-CM4C192-SST, year: 2041, month: 1
GFDL-CM4C192-SST, year: 2041, month: 2
GFDL-CM4C192-SST, year: 2041, month: 3
GFDL-CM4C192-SST, year: 2041, month: 4
GFDL-CM4C192-SST, year: 2041, month: 5
GFDL-CM4C192-SST, year: 2041, month: 6
GFDL-CM4C192-SST, year: 2041, month: 7
GFDL-CM4C192-SST, year: 2041, month: 8
GFDL-CM4C192-SST, year: 2041, month: 9
GFDL-CM4C192-SST, year: 2041, month: 10
GFDL-CM4C192-SST, year: 2041, month: 11
GFDL-CM4C192-SST, year: 2041, month: 12
GFDL-CM4C192-SST, year: 2042, month: 1
GFDL-CM4C192-SST, year: 2042, month: 2
GFDL-CM4C192-SST, year: 2042, month: 3
GFDL-CM4C192-SST, year: 2042, month: 4
GFDL-CM4C192-SST, year: 2042, month: 5
GFDL-CM4C192-SST, year: 2042, month: 6
GFDL-CM4C192-SST, year: 2042, month: 7
GFDL-CM4C192-SST, year: 2042, month: 8
GFDL-CM4C192-SST, year: 2042, month: 9
GFDL-CM4C192-SST, year: 2042, month: 10
GFDL-CM4C192-SST, year: 2042, month: 11
GFDL-CM4C192-SST, year: 2042, month: 12
GFDL-CM4C192-SST, year: 2043, month: 1
GFDL-CM4C192-SST, year: 2043, month: 2
GFDL-CM4C192-SST, year: 2043, month: 3
GFDL-CM4C192-SST, year: 2043, month: 4
GFDL-CM4C192-SST, year: 2043, month: 5
GFDL-CM4C192-SST, year: 2043, month: 6
GFDL-CM4C192-SST, year: 2043, month: 7
GFDL-CM4C192-SST, year: 2043, month: 8
GFDL-CM4C192-SST, year: 2043, month: 9
GFDL-CM4C192-SST, year: 2043, month: 10
GFDL-CM4C192-SST, year: 2043, month: 11
GFDL-CM4C192-SST, year: 2043, month: 12
GFDL-CM4C192-SST, year: 2044, month: 1
GFDL-CM4C192-SST, year: 2044, month: 2
GFDL-CM4C192-SST, year: 2044, month: 3
GFDL-CM4C192-SST, year: 2044, month: 4
GFDL-CM4C192-SST, year: 2044, month: 5
GFDL-CM4C192-SST, year: 2044, month: 6
GFDL-CM4C192-SST, year: 2044, month: 7
GFDL-CM4C192-SST, year: 2044, month: 8
GFDL-CM4C192-SST, year: 2044, month: 9
GFDL-CM4C192-SST, year: 2044, month: 10
GFDL-CM4C192-SST, year: 2044, month: 11
GFDL-CM4C192-SST, year: 2044, month: 12
GFDL-CM4C192-SST, year: 2045, month: 1
GFDL-CM4C192-SST, year: 2045, month: 2
GFDL-CM4C192-SST, year: 2045, month: 3
GFDL-CM4C192-SST, year: 2045, month: 4
GFDL-CM4C192-SST, year: 2045, month: 5
GFDL-CM4C192-SST, year: 2045, month: 6
GFDL-CM4C192-SST, year: 2045, month: 7
GFDL-CM4C192-SST, year: 2045, month: 8
GFDL-CM4C192-SST, year: 2045, month: 9
GFDL-CM4C192-SST, year: 2045, month: 10
GFDL-CM4C192-SST, year: 2045, month: 11
GFDL-CM4C192-SST, year: 2045, month: 12
GFDL-CM4C192-SST, year: 2046, month: 1
GFDL-CM4C192-SST, year: 2046, month: 2
GFDL-CM4C192-SST, year: 2046, month: 3
GFDL-CM4C192-SST, year: 2046, month: 4
GFDL-CM4C192-SST, year: 2046, month: 5
GFDL-CM4C192-SST, year: 2046, month: 6
GFDL-CM4C192-SST, year: 2046, month: 7
GFDL-CM4C192-SST, year: 2046, month: 8
GFDL-CM4C192-SST, year: 2046, month: 9
GFDL-CM4C192-SST, year: 2046, month: 10
GFDL-CM4C192-SST, year: 2046, month: 11
GFDL-CM4C192-SST, year: 2046, month: 12
GFDL-CM4C192-SST, year: 2047, month: 1
GFDL-CM4C192-SST, year: 2047, month: 2
GFDL-CM4C192-SST, year: 2047, month: 3
GFDL-CM4C192-SST, year: 2047, month: 4
GFDL-CM4C192-SST, year: 2047, month: 5
GFDL-CM4C192-SST, year: 2047, month: 6
GFDL-CM4C192-SST, year: 2047, month: 7
GFDL-CM4C192-SST, year: 2047, month: 8
GFDL-CM4C192-SST, year: 2047, month: 9
GFDL-CM4C192-SST, year: 2047, month: 10
GFDL-CM4C192-SST, year: 2047, month: 11
GFDL-CM4C192-SST, year: 2047, month: 12
GFDL-CM4C192-SST, year: 2048, month: 1
GFDL-CM4C192-SST, year: 2048, month: 2
GFDL-CM4C192-SST, year: 2048, month: 3
GFDL-CM4C192-SST, year: 2048, month: 4
GFDL-CM4C192-SST, year: 2048, month: 5
GFDL-CM4C192-SST, year: 2048, month: 6
GFDL-CM4C192-SST, year: 2048, month: 7
GFDL-CM4C192-SST, year: 2048, month: 8
GFDL-CM4C192-SST, year: 2048, month: 9
GFDL-CM4C192-SST, year: 2048, month: 10
GFDL-CM4C192-SST, year: 2048, month: 11
GFDL-CM4C192-SST, year: 2048, month: 12
GFDL-CM4C192-SST, year: 2049, month: 1
GFDL-CM4C192-SST, year: 2049, month: 2
GFDL-CM4C192-SST, year: 2049, month: 3
GFDL-CM4C192-SST, year: 2049, month: 4
GFDL-CM4C192-SST, year: 2049, month: 5
GFDL-CM4C192-SST, year: 2049, month: 6
GFDL-CM4C192-SST, year: 2049, month: 7
GFDL-CM4C192-SST, year: 2049, month: 8
GFDL-CM4C192-SST, year: 2049, month: 9
GFDL-CM4C192-SST, year: 2049, month: 10
GFDL-CM4C192-SST, year: 2049, month: 11
GFDL-CM4C192-SST, year: 2049, month: 12
GFDL-CM4C192-SST, year: 2050, month: 1
GFDL-CM4C192-SST, year: 2050, month: 2
GFDL-CM4C192-SST, year: 2050, month: 3
GFDL-CM4C192-SST, year: 2050, month: 4
GFDL-CM4C192-SST, year: 2050, month: 5
GFDL-CM4C192-SST, year: 2050, month: 6
GFDL-CM4C192-SST, year: 2050, month: 7
GFDL-CM4C192-SST, year: 2050, month: 8
GFDL-CM4C192-SST, year: 2050, month: 9
GFDL-CM4C192-SST, year: 2050, month: 10
GFDL-CM4C192-SST, year: 2050, month: 11
GFDL-CM4C192-SST, year: 2050, month: 12
GFDL-CM4C192-SST, year: 2050, month: 12 is not integer!!!
GFDL-CM4C192-SST, year: 2050, month: 12 is not integer!!!
GFDL-CM4C192-SST, year: 2050, month: 12 is not integer!!!
GFDL-CM4C192-SST, year: 2050, month: 12 is not integer!!!
>> 
